,name,rating,title,date,review_body
68,Prime User,1.0 out of 5 stars,Received broken pipe.,Reviewed in India on 4 October 2021,It's really pathetic same time disappointing to get such defective product. Ithe accessories are made of very cheap plastic. It's not upto the mark. Within couple of uses plastic pipe can be easily broken
69,P.sanyasi r.,4.0 out of 5 stars,Great deal at this price,Reviewed in India on 4 October 2021,"Just bought this yesterday, fast delivery by Amazon got in one day. First I was scared about negative reviews coz they said there product is broken but mine is packed very safely. And my finale verdict is beware of electricity bill."
70,Surya,1.0 out of 5 stars,Both the blower n suction getting switched on the same time… worst product ever,Reviewed in India on 2 October 2021,Both the blower n suction getting switched on the same time from day 2… worst product everCalled the service centre… they took 3 days to come to home and check the productAfter checking even they don’t know why it is behaving like that …they took the product to get it servicing at their place …wait for further update
71,Nanda,5.0 out of 5 stars,Superb product go for it,Reviewed in India on 1 October 2021,superb product go for it
72,Maheshwar V,1.0 out of 5 stars,Substandard product and No customer service to claim warranty,Reviewed in India on 30 September 2021,"Bought in MAY 2021, Stopped working in Sept 2021. Since 23 Sept I am writing mails to Black and Decker till date no one has taken responsibility in resolving the issue.The customer care nos. don't work and automated message mentions to use Whatsapp again no response only automated message with working hours (I doubt anyone works in this company).Only response after raising a ticket on website is - Your request (2901010) has been updated. To add additional comments, reply to this email.If Amazon wants to be in business you need to ban these products from selling on your platform."
73,Binu,3.0 out of 5 stars,Good product,Reviewed in India on 26 September 2021,Good product but heating very fast.
74,Kindle Customer,2.0 out of 5 stars,Average product,Reviewed in India on 25 September 2021,"1. Circular brush is not provided, it is very much required for dusting walls, roofs, any other surfaces etc. Had to purchase it separately2. Shape of the nozzle is not convenient3. Comes with 2 extension pipes that is not sufficient to reach the roof had to purchase it separately4. Floor brush comes with wiper which makes the normal brush uneasy to use... Needs lot of practiceOverall average product"
75,Victor,2.0 out of 5 stars,Disappointed,Reviewed in India on 24 September 2021,"1. the manual is sketchy and not easy to comprehend;2. the attachments are not ""clip on"" type;3. the cord is not retractable;4. the crevice attachment is too fat to get to the insides of crevices, nooks.There probably is better stuff available."
76,Alvaro Viegas,1.0 out of 5 stars,was damaged when arrived - but replacement was quick,Reviewed in India on 23 September 2021,"Terrible product quality, please never buy"
77,Muhammad Hussain,5.0 out of 5 stars,Very nice vaccum cleaner,Reviewed in India on 19 September 2021,This is really a very good vaccum cleaner
78,ANSARI ERAMANGALATH MOHAMED YOUSUF,5.0 out of 5 stars,Good product,Reviewed in India on 18 September 2021,I purchased it for cleaning my car and home... Both works become faster and very easy .. I feel to use it and clean the car... Because this mechine have good power and do the job fastly
79,utpal,5.0 out of 5 stars,"Wonderful But blow hole is in side, it blowout all dust in d floor. Flexible pipe is very short",Reviewed in India on 15 September 2021,"Better then any model of eureka fobes. In suction, dry n wet both I tested supperrr. I previously used eureka fobes iclean, bakuwass product, only dry costing double of it. No service. I  am purchasing this product not expecting after sales service. But it if runs well for three years I will through it if after that it doesnt work n i will purchase another one. Wonderful product. Test for seven days within return policy period it defective found just exchange. Otherwise just go through it. Use for maximum 10 to 15 min. Then give rest for 10 min. N start again. One should go through it. Forget eureka fobes."
80,dipsikha shyam,4.0 out of 5 stars,Overall good,Reviewed in India on 14 September 2021,"Overall experience is good but it heats up too fast, i have to switch it off after every 5 mins....but it's overall performance is okay for the price i got it for, Rs 5290. I think the machine is little bulky, rest alright...."
81,P.Sada Siva Rao,3.0 out of 5 stars,Good product but extension pipe is very small.,Reviewed in India on 12 September 2021,Suction pipe is small and does not go up to roof.
82,Amazon Customer,1.0 out of 5 stars,Not very useful product,Reviewed in India on 12 September 2021,The length of suction pipes is small and is unable to reach till ceiling.
83,MOIDU MAYIL KANDY,1.0 out of 5 stars,Useless device,Reviewed in India on 11 September 2021,It’s totally useless machine
84,Swapnil Thakur,4.0 out of 5 stars,Good,Reviewed in India on 10 September 2021,Good
85,n lakshmi narayana,3.0 out of 5 stars,Pretty decent for price range,Reviewed in India on 10 September 2021,Suction power is decent but not enough for Indian homes. You'll still need to sweep from time to time otherwise dust will just start accumulating on the floor. Extensions are pretty good although not enough to reach ceiling corners. Wire length is good but it keeps getting in the way. All in all it's pretty good for the price. Noise and heating is at par with any other vaccum cleaner
86,Raja Ganguly,5.0 out of 5 stars,Excellent product. Powerful & value for money,Reviewed in India on 9 September 2021,Great purchase
87,Manickavasagam SP,4.0 out of 5 stars,Good Buy,Reviewed in India on 9 September 2021,Good Buy
88,S Chiesa,5.0 out of 5 stars,Works perfectly,Reviewed in India on 8 September 2021,Great product
89,Arindam De,5.0 out of 5 stars,"Eorthy, easy to use, Strong Made",Reviewed in India on 7 September 2021,"This is an another product that I found at Amazon super super worthy, easy to use, and strong and professional grade. Material is too good and moreover cheaper in price than other companies product with similar features."
90,pankaj kumar,4.0 out of 5 stars,Design of bag filter not good and make hindrances else quite good,Reviewed in India on 4 September 2021,"Design of bag filter not good and make hindrances else quite good.. suction good blower good, noise slightly high, hose length some short."
91,vinoth,1.0 out of 5 stars,Damaged piece received  suction extension pipe damaged revived,Reviewed in India on 30 August 2021,Packing is not proper. Very bad packing
92,Narasimha Rao,4.0 out of 5 stars,Good,Reviewed in India on 30 August 2021,They could have given a drain cock
93,Jerry,2.0 out of 5 stars,Don't buy - No after sales product support,Reviewed in India on 26 August 2021,"I don't like this product which has no after sales product support, the most critical part.!!"
94,Navya,4.0 out of 5 stars,It's good.nice product.,Reviewed in India on 26 August 2021,"Suction power is ok ,regulated movement is good. It is Easy to use."
